thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
55,0,91,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,105,0,78,0,0,0
54,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,113,0,83,0,0,0
51,0,91,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,93,0,72,0,0,0
42,0,84,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,78,0,58,0,0,0
34,0,81,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,91,0,65,0,0,0
44,0,78,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,99,0,72,0,0,0
53,0,84,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,114,0,83,0,0,0
38,0,76,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,131,0,111,0,0,0
52,0,92,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,86,0,65,0,0,0
43,0,81,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,91,0,67,0,0,0
20,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,56,0,42,0,0,0
19,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,70,0,55,0,0,0
35,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,77,0,58,0,0,0
59,0,80,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,94,0,58,0,0,0
57,0,84,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,108,0,77,0,0,0
61,0,80,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,124,0,92,0,0,0
8,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,58,0,47,0,0,0
26,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,64,0,47,0,0,0
6,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,69,0,59,0,0,0
28,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,63,0,45,0,0,0
16,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,54,0,39,0,0,0
40,0,80,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,112,0,85,0,0,0
17,0,44,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,57,0,48,0,0,0
49,0,86,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,92,0,63,0,0,0
56,0,93,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,90,0,64,0,0,0
13,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,41,0,31,0,0,0
11,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,54,0,43,0,0,0
62,0,90,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,97,0,72,0,0,0
32,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,45,0,33,0,0,0
31,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,52,0,39,0,0,0
63,0,87,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,118,0,80,0,0,0
48,0,82,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,93,0,69,0,0,0
47,0,73,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,89,0,57,0,0,0
15,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,51,0,39,0,0,0
39,0,77,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,114,0,90,0,0,0
37,0,82,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,115,0,95,0,0,0
45,0,81,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,79,0,51,0,0,0
46,0,87,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,89,0,65,0,0,0
18,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,56,0,43,0,0,0
5,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,72,0,61,0,0,0
27,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,63,0,48,0,0,0
25,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,68,0,52,0,0,0
41,0,85,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,104,0,79,0,0,0
33,0,74,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,81,0,54,0,0,0
30,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,50,0,39,0,0,0
21,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,56,0,40,0,0,0
50,0,94,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,88,0,71,0,0,0
29,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,35,0,21,0,0,0
22,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,52,0,39,0,0,0
23,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,60,0,50,0,0,0
9,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,70,0,54,0,0,0
36,0,74,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,106,0,74,0,0,0
60,0,92,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,74,0,41,0,0,0
58,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,115,0,86,0,0,0
12,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,56,0,41,0,0,0
7,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,61,0,49,0,0,0
14,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,53,0,42,0,0,0
1,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,74,0,63,0,0,0
3,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,80,0,68,0,0,0
2,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,93,0,80,0,0,0
10,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,46,0,32,0,0,0
24,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,76,0,62,0,0,0
4,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,63,0,46,0,0,0
0,0,77,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,142,0,116,0,0,0
