thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
63,0,80,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,146,0,116,0,0,0
47,0,76,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,92,0,65,0,0,0
10,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,56,0,41,0,0,0
28,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,59,0,44,0,0,0
8,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,77,0,67,0,0,0
7,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,55,0,42,0,0,0
6,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,49,0,37,0,0,0
52,0,91,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,94,0,66,0,0,0
49,0,82,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,107,0,74,0,0,0
51,0,86,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,98,0,66,0,0,0
42,0,76,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,87,0,62,0,0,0
44,0,77,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,73,0,48,0,0,0
53,0,87,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,87,0,63,0,0,0
34,0,78,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,91,0,65,0,0,0
14,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,57,0,41,0,0,0
13,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,90,0,79,0,0,0
15,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,61,0,47,0,0,0
62,0,89,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,91,0,64,0,0,0
60,0,80,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,102,0,72,0,0,0
58,0,86,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,122,0,93,0,0,0
57,0,89,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,89,0,60,0,0,0
33,0,91,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,94,0,74,0,0,0
56,0,82,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,96,0,60,0,0,0
54,0,88,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,97,0,70,0,0,0
