thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
56,0,46,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,144092,0,64,0,0,0
55,0,80,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,203969,0,63,0,0,0
36,0,12,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,38593,0,87,0,0,0
25,0,73,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,50889,0,75,0,0,0
59,0,94,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,154110,0,80,0,0,0
46,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,111786,0,79,0,0,0
4,0,48,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,80561,0,71,0,0,0
16,0,46,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,86435,0,65,0,0,0
12,0,143,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,185970,0,73,0,0,0
10,0,88,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,186027,0,87,0,0,0
29,0,47,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,89952,0,61,0,0,0
31,0,110,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,153206,0,93,0,0,0
48,0,98,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,131220,0,67,0,0,0
3,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33602,0,77,0,0,0
40,0,92,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,180659,0,61,0,0,0
19,0,103,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,209822,0,74,0,0,0
1,0,88,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,155580,0,81,0,0,0
26,0,48,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,35015,0,87,0,0,0
21,0,87,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,173392,0,56,0,0,0
24,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,147412,0,65,0,0,0
50,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,141362,0,72,0,0,0
27,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,166316,0,63,0,0,0
54,0,69,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,123069,0,66,0,0,0
33,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,128816,0,67,0,0,0
37,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,25222,0,72,0,0,0
34,0,63,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,105168,0,59,0,0,0
32,0,73,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,204382,0,67,0,0,0
47,0,63,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,115156,0,49,0,0,0
18,0,100,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,193115,0,72,0,0,0
9,0,77,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,194479,0,58,0,0,0
22,0,87,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,180101,0,75,0,0,0
63,0,78,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,114088,0,79,0,0,0
53,0,80,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,55716,0,85,0,0,0
14,0,52,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,165339,0,84,0,0,0
15,0,95,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,90191,0,99,0,0,0
44,0,75,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,134706,0,86,0,0,0
61,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,63831,0,68,0,0,0
13,0,91,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,172501,0,69,0,0,0
49,0,65,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,118601,0,83,0,0,0
39,0,108,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,174936,0,68,0,0,0
11,0,60,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,73806,0,57,0,0,0
62,0,72,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,133169,0,78,0,0,0
60,0,12,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,27223,0,78,0,0,0
28,0,45,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,43735,0,65,0,0,0
30,0,111,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,224695,0,89,0,0,0
23,0,72,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,152455,0,90,0,0,0
17,0,155,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,198064,0,72,0,0,0
41,0,90,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,130842,0,61,0,0,0
2,0,74,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,85189,0,79,0,0,0
51,0,65,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,126165,0,72,0,0,0
38,0,124,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,62676,0,75,0,0,0
5,0,72,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,216665,0,73,0,0,0
20,0,61,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,157002,0,70,0,0,0
57,0,62,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,88102,0,88,0,0,0
45,0,45,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,87507,0,63,0,0,0
58,0,86,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,145825,0,62,0,0,0
43,0,98,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,226495,0,69,0,0,0
8,0,49,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32572,0,72,0,0,0
6,0,106,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,184748,0,64,0,0,0
52,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,83888,0,64,0,0,0
35,0,85,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,140283,0,76,0,0,0
42,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,141831,0,73,0,0,0
7,0,90,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,118082,0,74,0,0,0
0,0,49,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,8982,0,85,0,0,0
