thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
13,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33446,0,40,0,0,0
19,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33747,0,53,0,0,0
20,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33670,0,39,0,0,0
4,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,34062,0,31,0,0,0
12,0,59,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33838,0,37,0,0,0
42,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,34888,0,40,0,0,0
9,0,45,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32781,0,35,0,0,0
44,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,25305,0,34,0,0,0
23,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,31864,0,43,0,0,0
32,0,32,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33075,0,25,0,0,0
16,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32354,0,46,0,0,0
3,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33943,0,33,0,0,0
2,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,31934,0,38,0,0,0
17,0,45,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,34048,0,40,0,0,0
8,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33992,0,46,0,0,0
50,0,55,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,31318,0,61,0,0,0
38,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,34818,0,49,0,0,0
34,0,47,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33635,0,29,0,0,0
15,0,52,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,34160,0,35,0,0,0
