thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
39,0,134,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1293,0,170,0,0,0
37,0,121,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1410,0,148,0,0,0
36,0,154,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1266,0,168,0,0,0
47,0,148,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1359,0,132,0,0,0
45,0,153,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1434,0,137,0,0,0
57,0,154,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1371,0,153,0,0,0
59,0,164,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1497,0,158,0,0,0
58,0,166,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1446,0,169,0,0,0
52,0,169,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1320,0,138,0,0,0
10,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1488,0,148,0,0,0
11,0,158,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1434,0,166,0,0,0
12,0,146,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,132,0,0,0
9,0,128,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1398,0,142,0,0,0
1,0,160,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1275,0,147,0,0,0
60,0,143,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1368,0,148,0,0,0
3,0,154,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1392,0,155,0,0,0
26,0,162,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1419,0,151,0,0,0
28,0,158,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1437,0,173,0,0,0
14,0,149,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1344,0,158,0,0,0
25,0,169,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1353,0,172,0,0,0
20,0,141,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1362,0,146,0,0,0
62,0,164,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1419,0,165,0,0,0
33,0,145,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1356,0,167,0,0,0
55,0,170,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1311,0,145,0,0,0
2,0,115,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1488,0,166,0,0,0
54,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1389,0,161,0,0,0
17,0,175,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1368,0,159,0,0,0
63,0,143,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1458,0,148,0,0,0
61,0,135,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1299,0,135,0,0,0
34,0,140,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1395,0,147,0,0,0
48,0,141,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1485,0,154,0,0,0
46,0,141,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1395,0,154,0,0,0
13,0,151,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1335,0,139,0,0,0
15,0,154,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1323,0,133,0,0,0
4,0,152,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1407,0,171,0,0,0
35,0,133,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1521,0,153,0,0,0
50,0,156,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1311,0,128,0,0,0
49,0,166,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,143,0,0,0
51,0,128,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1452,0,172,0,0,0
32,0,167,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1359,0,183,0,0,0
31,0,147,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1410,0,140,0,0,0
29,0,179,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1374,0,169,0,0,0
22,0,137,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1443,0,143,0,0,0
30,0,179,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1263,0,143,0,0,0
16,0,147,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1365,0,142,0,0,0
18,0,153,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1293,0,173,0,0,0
38,0,167,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1332,0,138,0,0,0
19,0,167,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1353,0,155,0,0,0
27,0,130,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1464,0,150,0,0,0
7,0,150,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1440,0,136,0,0,0
5,0,143,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1455,0,137,0,0,0
53,0,172,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1278,0,163,0,0,0
56,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1419,0,121,0,0,0
42,0,155,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,158,0,0,0
6,0,161,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1347,0,157,0,0,0
43,0,170,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1356,0,137,0,0,0
44,0,176,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1398,0,141,0,0,0
41,0,161,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1371,0,128,0,0,0
40,0,147,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1344,0,158,0,0,0
21,0,154,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1377,0,176,0,0,0
8,0,134,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1440,0,150,0,0,0
24,0,175,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1371,0,155,0,0,0
23,0,129,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1389,0,138,0,0,0
0,0,156,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,162,0,0,0
