thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
63,0,120,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1434,0,143,0,0,0
35,0,125,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1515,0,142,0,0,0
34,0,135,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1317,0,147,0,0,0
62,0,163,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1416,0,156,0,0,0
25,0,131,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1350,0,142,0,0,0
38,0,132,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1329,0,148,0,0,0
49,0,129,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1377,0,128,0,0,0
27,0,127,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1380,0,135,0,0,0
20,0,122,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1422,0,141,0,0,0
50,0,105,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1434,0,128,0,0,0
5,0,144,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,146,0,0,0
58,0,152,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1431,0,123,0,0,0
6,0,125,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1344,0,136,0,0,0
7,0,145,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1395,0,141,0,0,0
57,0,145,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1389,0,143,0,0,0
28,0,131,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1461,0,150,0,0,0
39,0,142,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1392,0,135,0,0,0
41,0,146,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1437,0,139,0,0,0
43,0,121,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1404,0,148,0,0,0
54,0,123,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1287,0,114,0,0,0
18,0,154,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1305,0,134,0,0,0
15,0,151,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1392,0,151,0,0,0
16,0,155,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1329,0,145,0,0,0
14,0,120,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1398,0,139,0,0,0
13,0,131,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,140,0,0,0
46,0,146,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1365,0,135,0,0,0
61,0,146,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1389,0,153,0,0,0
44,0,151,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1449,0,142,0,0,0
26,0,142,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1323,0,158,0,0,0
47,0,184,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1350,0,149,0,0,0
51,0,148,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1209,0,146,0,0,0
