thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
48,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12977,0,29,0,0,0
39,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12846,0,39,0,0,0
45,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12961,0,29,0,0,0
8,0,47,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12987,0,34,0,0,0
19,0,22,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13332,0,22,0,0,0
55,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12953,0,25,0,0,0
31,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12974,0,34,0,0,0
30,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12979,0,29,0,0,0
26,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13004,0,40,0,0,0
37,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12957,0,28,0,0,0
18,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12945,0,30,0,0,0
60,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12967,0,30,0,0,0
3,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12997,0,31,0,0,0
1,0,18,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13011,0,29,0,0,0
13,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12970,0,42,0,0,0
15,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12977,0,33,0,0,0
38,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12950,0,27,0,0,0
43,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12978,0,30,0,0,0
42,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13090,0,31,0,0,0
29,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13310,0,34,0,0,0
32,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13006,0,27,0,0,0
23,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13006,0,28,0,0,0
25,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12981,0,31,0,0,0
