thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
55,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12970,0,39,0,0,0
62,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12963,0,39,0,0,0
19,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12996,0,37,0,0,0
20,0,32,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12881,0,37,0,0,0
27,0,42,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12779,0,44,0,0,0
10,0,23,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12999,0,28,0,0,0
30,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12995,0,37,0,0,0
32,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13032,0,32,0,0,0
11,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13345,0,33,0,0,0
23,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13018,0,29,0,0,0
61,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12734,0,23,0,0,0
9,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13009,0,25,0,0,0
40,0,23,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12942,0,32,0,0,0
2,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13030,0,29,0,0,0
33,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12913,0,43,0,0,0
21,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13038,0,42,0,0,0
12,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13002,0,30,0,0,0
25,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13015,0,23,0,0,0
26,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12969,0,28,0,0,0
46,0,32,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12957,0,35,0,0,0
7,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12903,0,30,0,0,0
45,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12944,0,29,0,0,0
50,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12946,0,27,0,0,0
38,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13317,0,29,0,0,0
6,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13054,0,40,0,0,0
34,0,44,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12947,0,33,0,0,0
35,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12970,0,30,0,0,0
22,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13044,0,35,0,0,0
16,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12981,0,16,0,0,0
3,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13029,0,36,0,0,0
8,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13027,0,32,0,0,0
52,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12948,0,35,0,0,0
39,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12939,0,39,0,0,0
17,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13027,0,30,0,0,0
24,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12991,0,33,0,0,0
1,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13347,0,30,0,0,0
48,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12973,0,32,0,0,0
47,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13320,0,37,0,0,0
14,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13327,0,25,0,0,0
15,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13020,0,40,0,0,0
51,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12959,0,29,0,0,0
49,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12951,0,32,0,0,0
41,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12668,0,30,0,0,0
37,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12931,0,30,0,0,0
18,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13002,0,27,0,0,0
57,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13301,0,32,0,0,0
44,0,32,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12958,0,33,0,0,0
36,0,18,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12974,0,23,0,0,0
56,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13324,0,42,0,0,0
31,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12944,0,33,0,0,0
5,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13017,0,26,0,0,0
53,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12927,0,32,0,0,0
54,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12957,0,31,0,0,0
63,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12972,0,39,0,0,0
60,0,22,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12972,0,30,0,0,0
58,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12946,0,35,0,0,0
4,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12989,0,35,0,0,0
28,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13034,0,32,0,0,0
59,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12938,0,32,0,0,0
43,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12963,0,32,0,0,0
42,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12969,0,29,0,0,0
13,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13008,0,24,0,0,0
29,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13018,0,31,0,0,0
0,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12676,0,52,0,0,0
