version,num_workers,ntowns,seed,seq_threshold,time_secs
11,4,19,25,6,45.357545064
11,8,19,25,6,22.708801095
11,8,19,25,6,22.691180688
11,8,19,25,6,22.682382945
11,8,19,25,6,22.688158047
11,8,19,25,6,22.696096925
11,8,19,25,6,22.685086006
11,16,19,25,6,12.082349803
11,16,19,25,6,11.520694014
11,16,19,25,6,11.521428025
11,16,19,25,6,11.522997702
11,16,19,25,6,11.515768698
11,16,19,25,6,11.520186049
11,32,19,25,6,5.765630948
11,32,19,25,6,5.773283665
11,32,19,25,6,5.774513331
11,32,19,25,6,5.767299738
11,32,19,25,6,5.775291874
11,32,19,25,6,5.775595543
11,48,19,25,6,3.888274650
11,48,19,25,6,3.889777795
11,48,19,25,6,3.887355272
11,48,19,25,6,3.894643028
11,48,19,25,6,3.887926929
11,48,19,25,6,3.886494427
11,64,19,25,6,3.012649670
11,64,19,25,6,3.018295318
11,64,19,25,6,3.010037143
11,64,19,25,6,3.011839267
11,64,19,25,6,3.013312340
11,64,19,25,6,3.015724791
11,80,19,25,6,2.567735436
11,80,19,25,6,2.557845284
11,80,19,25,6,2.554558076
11,80,19,25,6,2.558239306
11,80,19,25,6,2.552929688
11,80,19,25,6,2.564330016
11,96,19,25,6,2.234249739
11,96,19,25,6,2.236920248
11,96,19,25,6,2.250010755
11,96,19,25,6,2.238016120
11,96,19,25,6,2.237953439
11,96,19,25,6,2.247824770
11,112,19,25,6,2.007923006
11,112,19,25,6,2.007208114
11,112,19,25,6,2.007618157
11,112,19,25,6,2.004099939
11,112,19,25,6,2.007563845
11,112,19,25,6,2.013178397
11,128,19,25,6,1.838353828
11,128,19,25,6,1.844937409
11,128,19,25,6,1.843919289
11,128,19,25,6,1.843039991
11,128,19,25,6,1.842434253
11,128,19,25,6,1.846674953
12,1,19,25,6,166.200856795
12,1,19,25,6,166.546184270
12,1,19,25,6,166.370304682
12,1,19,25,6,165.857768885
12,1,19,25,6,165.720251034
12,1,19,25,6,165.828486465
12,2,19,25,6,82.830156563
12,2,19,25,6,82.911808239
12,2,19,25,6,83.158503317
12,2,19,25,6,82.962832139
12,2,19,25,6,83.124875650
12,2,19,25,6,82.889225034
12,4,19,25,6,41.466714439
12,4,19,25,6,41.380219729
12,4,19,25,6,41.397130212
12,4,19,25,6,41.479088847
12,4,19,25,6,41.365354650
12,4,19,25,6,41.377461523
12,8,19,25,6,20.715506741
12,8,19,25,6,20.717095160
12,8,19,25,6,20.704197483
12,8,19,25,6,20.732468877
12,8,19,25,6,20.741660992
12,8,19,25,6,20.703507282
12,16,19,25,6,10.528358430
12,16,19,25,6,10.505754738
12,16,19,25,6,10.507772551
12,16,19,25,6,10.510882975
12,16,19,25,6,10.509776231
12,16,19,25,6,10.508144431
12,32,19,25,6,5.383575962
12,32,19,25,6,5.321615667
12,32,19,25,6,5.337380250
12,32,19,25,6,5.333888362
12,32,19,25,6,5.317056038
12,32,19,25,6,5.327282690
12,48,19,25,6,3.625893622
12,48,19,25,6,3.624650074
12,48,19,25,6,3.646554124
12,48,19,25,6,3.637848018
12,48,19,25,6,3.646620646
12,48,19,25,6,3.645360047
12,64,19,25,6,2.873718392
12,64,19,25,6,2.864823700
12,64,19,25,6,2.889207676
12,64,19,25,6,2.920157482
12,64,19,25,6,2.864937503
12,64,19,25,6,2.871329279
12,80,19,25,6,2.469296790
12,80,19,25,6,2.457881441
12,80,19,25,6,2.434848987
12,80,19,25,6,2.456069295
12,80,19,25,6,2.460784130
12,80,19,25,6,2.459081217
12,96,19,25,6,2.194865644
12,96,19,25,6,2.185328083
12,96,19,25,6,2.192109490
12,96,19,25,6,2.170430727
12,96,19,25,6,2.199982151
12,96,19,25,6,2.197572837
12,112,19,25,6,1.988795661
12,112,19,25,6,1.987284374
12,112,19,25,6,1.992336289
12,112,19,25,6,2.001826799
12,112,19,25,6,1.993602478
12,112,19,25,6,1.988979366
12,128,19,25,6,1.868470149
12,128,19,25,6,1.857206025
12,128,19,25,6,1.877313260
12,128,19,25,6,1.857166504
12,128,19,25,6,1.850675126
12,128,19,25,6,1.856439721
