version,num_workers,threshold,array_length,random_seed,time_secs
0,1,0,2000000000,42,135.81337
0,1,0,2000000000,42,135.56842
0,1,0,2000000000,42,135.33125
0,1,0,2000000000,42,135.69069
0,1,0,2000000000,42,135.64316
0,1,0,2000000000,42,135.71777
1,1,2097152,2000000000,42,140.1217
1,1,2097152,2000000000,42,140.04276
1,1,2097152,2000000000,42,140.06032
1,1,2097152,2000000000,42,140.02423
1,1,2097152,2000000000,42,140.31624
1,1,2097152,2000000000,42,140.0727
1,2,2097152,2000000000,42,70.13083
1,2,2097152,2000000000,42,70.246445
1,2,2097152,2000000000,42,70.18243
1,2,2097152,2000000000,42,70.267845
1,2,2097152,2000000000,42,70.17079
1,2,2097152,2000000000,42,70.284744
1,4,2097152,2000000000,42,35.754
1,4,2097152,2000000000,42,35.961044
1,4,2097152,2000000000,42,35.814278
1,4,2097152,2000000000,42,36.134666
1,4,2097152,2000000000,42,35.87194
1,4,2097152,2000000000,42,36.130524
1,8,2097152,2000000000,42,18.194193
1,8,2097152,2000000000,42,18.090446
1,8,2097152,2000000000,42,18.116234
1,8,2097152,2000000000,42,18.174158
1,8,2097152,2000000000,42,17.914297
1,8,2097152,2000000000,42,18.298742
1,16,2097152,2000000000,42,9.282778
1,16,2097152,2000000000,42,9.24383
1,16,2097152,2000000000,42,9.266039
1,16,2097152,2000000000,42,9.26088
1,16,2097152,2000000000,42,9.325274
1,16,2097152,2000000000,42,9.153867
1,32,2097152,2000000000,42,4.956323
1,32,2097152,2000000000,42,4.9395833
1,32,2097152,2000000000,42,4.88036
1,32,2097152,2000000000,42,4.8851995
1,32,2097152,2000000000,42,4.923853
1,32,2097152,2000000000,42,4.9497185
1,48,2097152,2000000000,42,3.439114
1,48,2097152,2000000000,42,3.4672773
1,48,2097152,2000000000,42,3.430624
1,48,2097152,2000000000,42,3.406511
1,48,2097152,2000000000,42,3.4106166
1,48,2097152,2000000000,42,3.4387925
1,64,2097152,2000000000,42,2.792839
1,64,2097152,2000000000,42,2.8275175
1,64,2097152,2000000000,42,2.776127
1,64,2097152,2000000000,42,2.7757063
1,64,2097152,2000000000,42,2.8337643
1,64,2097152,2000000000,42,2.8207788
1,80,2097152,2000000000,42,2.405634
1,80,2097152,2000000000,42,2.4371889
1,80,2097152,2000000000,42,2.447651
1,80,2097152,2000000000,42,2.3615503
1,80,2097152,2000000000,42,2.489172
1,80,2097152,2000000000,42,2.3766363
1,96,2097152,2000000000,42,2.1599689
1,96,2097152,2000000000,42,2.2717853
1,96,2097152,2000000000,42,2.2280438
1,96,2097152,2000000000,42,2.2177746
1,96,2097152,2000000000,42,2.2039437
1,96,2097152,2000000000,42,2.1811955
1,112,2097152,2000000000,42,2.0498636
1,112,2097152,2000000000,42,2.1057787
1,112,2097152,2000000000,42,2.0766828
1,112,2097152,2000000000,42,2.093578
1,112,2097152,2000000000,42,2.0378752
1,112,2097152,2000000000,42,2.0687435
1,128,2097152,2000000000,42,1.9487011
1,128,2097152,2000000000,42,1.9770601
1,128,2097152,2000000000,42,1.9922575
1,128,2097152,2000000000,42,2.023477
1,128,2097152,2000000000,42,2.0528316
1,128,2097152,2000000000,42,1.996279
2,1,2097152,2000000000,42,142.84308
2,1,2097152,2000000000,42,142.75119
2,1,2097152,2000000000,42,141.76349
2,1,2097152,2000000000,42,141.44576
2,1,2097152,2000000000,42,142.59169
2,1,2097152,2000000000,42,142.07079
2,2,2097152,2000000000,42,70.91881
2,2,2097152,2000000000,42,70.97955
2,2,2097152,2000000000,42,70.31649
2,2,2097152,2000000000,42,70.72933
2,2,2097152,2000000000,42,70.40381
2,2,2097152,2000000000,42,70.75449
2,4,2097152,2000000000,42,35.49174
2,4,2097152,2000000000,42,35.42311
2,4,2097152,2000000000,42,35.482807
2,4,2097152,2000000000,42,35.331238
2,4,2097152,2000000000,42,35.416912
2,4,2097152,2000000000,42,35.526787
2,8,2097152,2000000000,42,18.55166
2,8,2097152,2000000000,42,18.52844
2,8,2097152,2000000000,42,18.654575
2,8,2097152,2000000000,42,18.445814
2,8,2097152,2000000000,42,18.34661
2,8,2097152,2000000000,42,18.622913
2,16,2097152,2000000000,42,9.899741
2,16,2097152,2000000000,42,9.950207
2,16,2097152,2000000000,42,10.056134
2,16,2097152,2000000000,42,10.020532
2,16,2097152,2000000000,42,9.828595
2,16,2097152,2000000000,42,9.869341
2,32,2097152,2000000000,42,5.973267
2,32,2097152,2000000000,42,5.9757733
2,32,2097152,2000000000,42,5.961638
2,32,2097152,2000000000,42,5.9581656
2,32,2097152,2000000000,42,5.997525
2,32,2097152,2000000000,42,5.9491405
2,48,2097152,2000000000,42,5.8479376
2,48,2097152,2000000000,42,5.874337
2,48,2097152,2000000000,42,5.746204
2,48,2097152,2000000000,42,5.726362
2,48,2097152,2000000000,42,5.7093368
2,48,2097152,2000000000,42,5.764093
2,64,2097152,2000000000,42,5.1251445
2,64,2097152,2000000000,42,5.2240963
2,64,2097152,2000000000,42,5.3105826
2,64,2097152,2000000000,42,5.2516956
2,64,2097152,2000000000,42,5.1827154
2,64,2097152,2000000000,42,5.1128798
2,80,2097152,2000000000,42,5.081575
2,80,2097152,2000000000,42,5.156286
2,80,2097152,2000000000,42,5.1305294
2,80,2097152,2000000000,42,5.6057262
2,80,2097152,2000000000,42,5.668136
2,80,2097152,2000000000,42,5.093878
2,96,2097152,2000000000,42,6.0494604
2,96,2097152,2000000000,42,5.803412
2,96,2097152,2000000000,42,5.2472925
